-0.933333333,-2.345984394,1.050702447
-0.8,-1.643398808,1.133763598
-0.666666667,-1.1549086,1.026795291
-0.533333333,-0.789508428,1.019035846
-0.4,-0.509557025,0.836368529
-0.266666667,-0.279282249,0.729387009
-0.133333333,-0.166149254,0.735113707
0,-1.49E-17,0.670339141
0.133333333,0.166149254,0.735113707
0.266666667,0.279282249,0.729387009
0.4,0.509557025,0.836368529
0.533333333,0.789508428,1.019035846
0.666666667,1.1549086,1.026795291
0.8,1.643398808,1.133763598
0.933333333,2.345984394,1.050702447
