0.6,0.044546151992579
1.8,0.110523587915736
3,0.13316676155713
4.2,0.123307891657582
5.4,0.10065820013167
6.6,0.0774088375353818
7.8,0.0586485758285288
9,0.0437784376971692
10.2,0.0323426594239866
11.4,0.0242942882587445
12.6,0.0182775100077792
13.8,0.0138758738183465
15,0.0108213670198161
16.2,0.00821443589970625
17.4,0.00641362406078869
18.6,0.00506127864929288
19.8,0.00402909754946899
21,0.0033507407956893
22.2,0.00257406762090208
23.4,0.00209035665367321
24.6,0.0017051762298079
25.8,0.00140240721834213
27,0.00113199637732381
28.2,0.000947234478728632
29.4,0.000771851139328781
30.6,0.000630239177926377
31.8,0.000522227296636565
33,0.000445674271898768
34.2,0.000355511630209939
35.4,0.000316198765637719
36.6,0.000256629926182432
37.8,0.000234095689430905
39,0.000176291218189533
40.2,0.000158878788194911
41.4,0.000122786323857802
42.6,0.000118957816131489
43.8,0.000106307467335592
45,8.01931047907785e-05
46.2,6.41681876634109e-05
47.4,7.02064381042413e-05
48.6,6.66091825224702e-05
49.8,4.16853402773384e-05
51,3.25551630150325e-05
52.2,3.46706918928841e-05
53.4,2.90178616929571e-05
54.6,2.08726472685174e-05
55.8,1.56566266749485e-05
57,1.61962150122144e-05
58.2,1.28045168922582e-05
59.4,8.33364209777075e-06
60.6,7.39150373111634e-06
61.8,9.67833049381392e-06
63,5.34449400720347e-06
64.2,5.29310464174956e-06
65.4,3.11762150420201e-06
66.6,1.99562035845898e-06
67.8,3.10905660995973e-06
69,2.42386507057464e-06
70.2,1.76436821391652e-06
71.4,1.6872841657357e-06
72.6,3.85420240904094e-07
73.8,1.23334477089312e-06
75,8.39359635746694e-07
76.2,1.13913093422766e-06
77.4,6.9375643362737e-07
78.6,6.85191539385056e-07
79.8,9.07878789685211e-07
81,5.99542596961924e-07
82.2,6.85191539385056e-07
83.4,0
84.6,0
85.8,2.14122356057833e-07
87,2.1412235605783e-07
88.2,0
89.4,2.99771298480962e-07
90.6,6.9375643362737e-07
91.8,8.39359635746704e-07
93,0
94.2,0
95.4,0
96.6,0
97.8,5.39588337265738e-07
99,2.08126930088211e-06
100.2,0
101.4,0
102.6,0
103.8,0
105,0
106.2,0
107.4,0
108.6,0
109.8,2.99771298480966e-07
111,0
112.2,0
113.4,0
114.6,0
115.8,0
117,0
118.2,0
119.4,0
